1 Occupant,1 Occupant,2 Occupants,2 Occupants,3 Occupants,3 Occupants,4+ Occupants,4+ Occupants
X,Y,X,Y,X,Y,X,Y
0.0,1.8358966154031913e-05,0.0,1.7303908680784816e-05,0.0,0.0,0.0,0.0
25.814139058488422,1.952832705556261e-05,22.457023383729407,1.7706325161733303e-05,23.022248580597665,5.125850009208057e-07,28.33376752431677,1.355952809819204e-07
51.628278116976844,2.0814624047246374e-05,44.914046767458814,1.8779435777595925e-05,46.04449716119533,1.0251700018416114e-06,56.66753504863354,2.711905619638408e-07
77.44241717546527,2.30364097601547e-05,67.37107015118822,1.985254639345855e-05,69.066745741793,1.5338221255175006e-06,85.00130257295031,4.057181635679508e-07
103.25655623395369,2.6310620284440646e-05,89.82809353491763,2.0254962874407034e-05,92.08899432239066,2.0450961673566672e-06,113.33507009726708,5.413134445498711e-07
129.0706952924421,2.99356390791858e-05,112.28511691864703,2.0523240528372688e-05,115.11124290298832,2.5563702091958345e-06,141.66883762158386,6.769087255317916e-07
154.88483435093053,3.367759396408402e-05,134.74214030237644,2.092565700932117e-05,138.133491483586,3.08075384185139e-06,170.00260514590062,8.125040065137119e-07
180.69897340941895,3.741954884898225e-05,157.19916368610586,2.1059795836304002e-05,161.15574006418365,3.592027883690557e-06,198.3363726702174,9.470316081178221e-07
206.51311246790738,4.06937593732682e-05,179.65618706983525,2.1328073490269656e-05,184.17798864478132,4.103301925529724e-06,226.67014019453416,1.0783561715885008e-06
232.3272515263958,4.3851033807401076e-05,202.11321045356468,2.186462879820097e-05,207.200237225379,4.614575967368891e-06,255.00390771885094,1.2171544907038525e-06
258.1413905848842,4.677443606122782e-05,224.57023383729407,2.2535322933115108e-05,230.22248580597665,5.125850009208057e-06,283.3376752431677,1.3559528098192037e-06
283.95552964337264,5.016558267566683e-05,247.0272572210235,2.3340155895012076e-05,253.24473438657432,5.6371240510472245e-06,311.67144276748445,1.4840743351564515e-06
309.76966870186106,5.41414097408712e-05,269.4842806047529,2.387671120294339e-05,276.266982967172,6.148398092886391e-06,340.00521029180123,1.6228726542718032e-06
335.5838077603495,5.823417289622863e-05,291.9413039884823,2.44132665108747e-05,299.28923154776965,6.1352885020700026e-06,368.338977816118,1.7616709733871549e-06
361.3979468188379,6.314548868265755e-05,314.3983273722117,2.4815682991823185e-05,322.3114801283673,6.266384410233891e-06,396.6727453404348,1.8897924987244023e-06
387.21208587732633,6.934310146077024e-05,336.8553507559411,2.521809947277167e-05,345.333728708965,6.607233771460002e-06,425.0065128647515,2.028590817839754e-06
413.02622493581475,7.71778195010259e-05,359.3123741396705,2.5754654780702983e-05,368.35597728956265,7.052959859217224e-06,453.3402803890683,2.1673891369551056e-06
438.8403639943032,8.723432325418987e-05,381.7693975233999,2.6157071261651467e-05,391.3782258701603,7.5511243102400024e-06,481.6740479133851,2.306187456070457e-06
