temp_air,pressure,dew_point,relative_humidity
-0.29,98090.0,-1.4293509900102395,92.0
-0.19,98090.0,-1.3303087042805557,92.0
-0.14,98040.0,-1.280787711570825,92.0
0.1,98030.0,-0.5182422854706193,95.6
0.16,98020.0,-0.9836638574648697,92.0
0.2,97980.0,-0.9440476158607201,92.0
0.21,97960.0,-0.9341435654697828,92.0
0.25,97900.0,-0.8945274039463599,92.0
0.29,97890.0,-0.8549113064873436,92.0
0.36,97890.0,-0.7855832900885754,92.0
0.43,97890.0,-0.7162554698857434,92.0
0.62,97940.0,-0.5280809468877083,92.0
0.84,97930.0,-0.8337344735802826,88.55
1.09,97900.0,-0.5872322670959287,88.55
1.18,97830.0,-1.5471226485144853,82.0
1.17,97780.0,-1.5568956307603452,82.0
1.02,97800.0,-0.6562525194739902,88.55
0.71,97810.0,-0.9619170537124606,88.55
0.2,97800.0,-1.47247481185854,88.5
-0.14,97820.0,-1.280787711570825,92.0
-0.59,97830.0,-1.7338540550492951,91.95
-0.75,97850.0,-1.8923145666767336,91.95
-0.77,97880.0,-2.436531589624788,88.45
-0.81,97860.0,-3.0031188542830236,85.05
-0.76,97870.0,-2.954040460991055,85.05
-0.93,97840.0,-2.6019029449380935,88.4
-1.05,97830.0,-3.246572432217973,85.0
-1.03,97830.0,-3.226942002351684,85.0
-0.91,97840.0,-3.1091600699081,85.0
-0.98,97830.0,-3.1778660624267796,85.0
-0.94,97800.0,-3.138605449076814,85.0
-0.93,97780.0,-3.1287903149878518,85.0
-1.0,97780.0,-2.670917997973796,88.4
-0.87,97800.0,-3.062013179416068,85.05
-0.73,97830.0,-2.397092365962989,88.45
-0.34,97860.0,-3.0654775260366938,81.8
0.18,97840.0,-3.5965994337271128,75.7
0.66,97840.0,-3.6449752003278957,72.85
0.76,97770.0,-3.548555474061126,72.85
0.86,97760.0,-3.4521372089389954,72.85
0.71,97750.0,-3.596765154549355,72.85
0.27,97770.0,-2.980508356258896,78.75
0.0,97760.0,-2.7332462376749906,81.8
-0.41,97760.0,-2.6104970783925063,85.05
-0.57,97780.0,-2.2393364079913924,88.45
-1.21,97750.0,-2.8779648860389417,88.4
-1.11,97730.0,-2.7793708063711766,88.4
-0.98,97730.0,-2.1201033595975978,91.95
-0.8,97700.0,-2.4661110688408945,88.45
-0.53,97680.0,-1.6744316291667802,91.95
-0.29,97640.0,-1.963267087690771,88.45
-0.18,97630.0,-1.320404497730355,92.0
-0.23,97630.0,-1.3699255705227065,92.0
-0.19,97640.0,-1.3303087042805557,92.0
-0.28,97640.0,-1.4194467434186069,92.0
-0.37,97630.0,-0.9858040139114342,95.6
-0.33,97650.0,-1.46896801641836,92.0
-0.25,97700.0,-1.3897340276686239,92.0
-0.12,97770.0,-1.2609793425157902,92.0
0.04,97830.0,-1.1025129666664766,92.0
0.35,97860.0,-1.3245771016469237,88.5
