# Data source (extracted from Figure): econstor, "Stromverbrauch privater Haushalte in Deutschland: Eine ökonometrische Analyse", https://www.econstor.eu/handle/10419/116776
1 Occupant,1 Occupant,2 Occupants,2 Occupants,3 Occupants,3 Occupants,4+ Occupants,4+ Occupants
X,Y,X,Y,X,Y,X,Y
2460,0.000301522,2460,0.000217997,2460,0.000117433,2460,0.000102267
2490,0.000292236,2490,0.000222005,2490,0.000121619,2490,0.000106433
2520,0.000282728,2520,0.000226025,2520,0.000124927,2520,0.000110466
2550,0.000273754,2550,0.000230299,2550,0.000127709,2550,0.000114291
2580,0.000263919,2580,0.000234608,2580,0.000131971,2580,0.000117998
2610,0.000253724,2610,0.00023893,2610,0.00013572,2610,0.000121712
2640,0.000244747,2640,0.000243808,2640,0.000139597,2640,0.000125656
2670,0.000235413,2670,0.000247366,2670,0.000142995,2670,0.000129616
2700,0.000226705,2700,0.000250325,2700,0.000145682,2700,0.000133457
2730,0.000219701,2730,0.00025433,2730,0.000147637,2730,0.000137002
2760,0.000213406,2760,0.000258219,2760,0.000151235,2760,0.000140424
2790,0.000208091,2790,0.000262283,2790,0.00015461,2790,0.0001438
2820,0.000203382,2820,0.000266522,2820,0.000158084,2820,0.000147288
2850,0.000199253,2850,0.000270368,2850,0.000161742,2850,0.000150772
2880,0.000196229,2880,0.000274296,2880,0.000164538,2880,0.00015422
2910,0.00019336,2910,0.000278037,2910,0.00016665,2910,0.00015751
2940,0.000190377,2940,0.000281423,2940,0.00016953,2940,0.000160643
2970,0.000186854,2970,0.000284671,2970,0.00017279,2970,0.000163505
3000,0.000182712,3000,0.000287582,3000,0.000176405,3000,0.000166074
3030,0.000179379,3030,0.000290479,3030,0.000180306,3030,0.000168571
3060,0.000176703,3060,0.000293302,3060,0.000183567,3060,0.000171262
3090,0.000172984,3090,0.000295694,3090,0.000186186,3090,0.000174315
3120,0.000168161,3120,0.00029831,3120,0.000188521,3120,0.000177627
3150,0.000163596,3150,0.000300843,3150,0.000190604,3150,0.000181042
3180,0.00015988,3180,0.000302954,3180,0.000192982,3180,0.000184444
3210,0.000156787,3210,0.000305089,3210,0.000195757,3210,0.000187855
3240,0.000153612,3240,0.000307034,3240,0.000198588,3240,0.000191319
3270,0.000150402,3270,0.000308598,3270,0.000201405,3270,0.000194832
3300,0.000146668,3300,0.000309942,3300,0.000204177,3300,0.000198209
3330,0.000142641,3330,0.000310831,3330,0.000206831,3330,0.000201231
3360,0.000138979,3360,0.000311226,3360,0.00020893,3360,0.00020385
3390,0.000135511,3390,0.000310879,3390,0.000211142,3390,0.000206184
3420,0.000132085,3420,0.000309894,3420,0.00021274,3420,0.000208548
3450,0.000128467,3450,0.000308525,3450,0.000214597,3450,0.000211093
3480,0.000123977,3480,0.00030685,3480,0.000216466,3480,0.000213859
3510,0.000118926,3510,0.000304985,3510,0.000217993,3510,0.000216782
3540,0.000114047,3540,0.000302736,3540,0.000219423,3540,0.000219814
3570,0.000109168,3570,0.000300302,3570,0.000220254,3570,0.00022251
3600,0.000104629,3600,0.000297799,3600,0.000221499,3600,0.00022457
3630,9.96E-05,3630,0.000295174,3630,0.000222543,3630,0.000225941
3660,9.39E-05,3660,0.000292361,3660,0.000223077,3660,0.000227156
3690,8.85E-05,3690,0.000289169,3690,0.000223728,3690,0.000228184
3720,8.33E-05,3720,0.000286129,3720,0.000224335,3720,0.00022945
3750,7.89E-05,3750,0.000283241,3750,0.000224959,3750,0.000230821
3780,7.52E-05,3780,0.000279856,3780,0.000225612,3780,0.000232164
3810,7.14E-05,3810,0.000276498,3810,0.000226205,3810,0.00023354
3840,6.79E-05,3840,0.000273222,3840,0.000226829,3840,0.000234641
3870,6.48E-05,3870,0.000269676,3870,0.000226771,3870,0.000235382
3900,6.22E-05,3900,0.000266295,3900,0.000226608,3900,0.000235721
3930,6.05E-05,3930,0.000262663,3930,0.000226334,3930,0.000235514
3960,5.92E-05,3960,0.000258854,3960,0.000226013,3960,0.00023514
3990,5.80E-05,3990,0.000255166,3990,0.000225797,3990,0.000234979
4020,5.67E-05,4020,0.000251231,4020,0.000225646,4020,0.000234821
4050,5.55E-05,4050,0.000247751,4050,0.000225482,4050,0.000234467
4080,5.46E-05,4080,0.000244828,4080,0.000225641,4080,0.000233773
4110,5.40E-05,4110,0.000241118,4110,0.000225848,4110,0.000232769
4140,5.32E-05,4140,0.000237049,4140,0.000226088,4140,0.000231525
4170,5.24E-05,4170,0.000232946,4170,0.000226327,4170,0.000230067
4200,5.16E-05,4200,0.000229044,4200,0.000227015,4200,0.00022857
4230,5.07E-05,4230,0.00022557,4230,0.000228028,4230,0.000227181
4260,4.99E-05,4260,0.000221989,4260,0.000229115,4260,0.000226052
4290,4.89E-05,4290,0.000218325,4290,0.000230067,4290,0.000225205
4320,4.80E-05,4320,0.0002144,4320,0.000230792,4320,0.000224684
4350,4.71E-05,4350,0.00021015,4350,0.000231303,4350,0.000224355
4380,4.62E-05,4380,0.00020616,4380,0.000231663,4380,0.000223519
