Source: https://synpro-lastprofile.de/simulator/
,public_office,school_kindergarden,trade_retail,gastronomy,culture_leisure,health_nursing,sports,research_highereducation,hotel_accomodation,office
0,0.002307,0.000718,0.000126,0.00788,0.0009419999999999999,0.0019199999999999998,0.0,0.000675,0.001578,0.0018009999999999999
1,0.002666,0.000812,0.008074,0.005471,0.001006,0.00367,0.0,0.000483,0.0020659999999999997,0.004672
2,0.0031309999999999997,0.000772,0.008038,0.008018,0.000984,0.003357,0.0,0.000494,0.002275,0.004699
3,0.003022,0.0007920000000000001,0.008079000000000001,0.005997,0.000855,0.003457,0.0,0.000496,0.002319,0.004607999999999999
4,0.003146,0.000879,0.008071,0.008037,0.000995,0.003705,0.0,0.000518,0.002175,0.004766
5,0.002693,0.00083,0.008058999999999998,0.005481,0.000945,0.003558,0.0,0.000575,0.002294,0.004634
6,0.0028599999999999997,0.000873,0.008005,0.007549,0.00101,0.00414,7.3e-05,0.000851,0.002213,0.0048330000000000005
7,0.0034969999999999997,0.001792,0.008141,0.008615,0.001034,0.005503,0.000512,0.002343,0.001932,0.006549999999999999
8,0.004076,0.0021680000000000002,0.009282,0.008518000000000001,0.002462,0.00683,0.001438,0.003798,0.002549,0.006864
9,0.003929,0.0020099999999999996,0.009179999999999999,0.006458,0.0023079999999999997,0.004873000000000001,0.0013859999999999999,0.003769,0.003671,0.007006999999999999
10,0.0043230000000000005,0.0019370000000000001,0.009210000000000001,0.00842,0.002314,0.004202,0.001202,0.003285,0.001965,0.006868
11,0.004315,0.001867,0.009158,0.008365000000000001,0.0020299999999999997,0.003929,0.001202,0.0031579999999999998,0.00212,0.006585
12,0.003798,0.001843,0.009093,0.008775999999999999,0.002,0.004873000000000001,0.001202,0.003085,0.002184,0.0066749999999999995
13,0.003848,0.0019299999999999999,0.009071,0.006806,0.002202,0.005526,0.001157,0.0030259999999999996,0.002137,0.006874
14,0.004051999999999999,0.001869,0.00905,0.0067859999999999995,0.002197,0.005545,0.001157,0.003045,0.002206,0.006368
15,0.0041340000000000005,0.002054,0.00932,0.008003999999999999,0.0027010000000000003,0.005966,0.001438,0.003699,0.0022660000000000002,0.006993999999999999
16,0.003904,0.0020499999999999997,0.009336,0.009049,0.002716,0.005456000000000001,0.001438,0.003604,0.002109,0.006791
17,0.003991,0.0021880000000000003,0.009334,0.009022,0.002577,0.005235999999999999,0.001438,0.00364,0.002673,0.006794
18,0.004182,0.002166,0.00934,0.008002,0.0026,0.0064800000000000005,0.001438,0.003767,0.002608,0.0073
19,0.004201,0.000725,0.008143000000000001,0.007208999999999999,0.001899,0.004383,8.400000000000001e-05,0.0012,0.003039,0.005730000000000001
20,0.002864,0.00064,0.008036,0.006546000000000001,0.001039,0.0043159999999999995,0.0,0.000691,0.004492,0.004972000000000001
21,0.002664,0.000684,0.008072,0.007514,0.001062,0.003983,0.0,0.00064,0.0035240000000000002,0.004577
22,0.003078,0.000756,0.008093,0.006966,0.000832,0.003621,0.0,0.000495,0.002877,0.004855000000000001
23,0.003012,0.000687,0.008043,0.008123,0.001014,0.003323,0.0,0.000684,0.002729,0.005076
24,0.0029980000000000002,0.000704,0.00807,0.009446,0.001779,0.003661,0.0,0.000502,0.0026360000000000003,0.004739
25,0.0028039999999999996,0.000725,0.008055999999999999,0.0060609999999999995,0.001073,0.003636,0.0,0.000652,0.0022930000000000003,0.004539
26,0.002892,0.00074,0.008074999999999999,0.006474000000000001,0.0009080000000000001,0.0033610000000000003,0.0,0.0006969999999999999,0.002595,0.0049900000000000005
27,0.003235,0.000828,0.008039,0.006526,0.000858,0.0033380000000000003,0.0,0.000666,0.002529,0.004815000000000001
28,0.003312,0.0008070000000000001,0.008082,0.00753,0.000924,0.003232,0.0,0.000498,0.002384,0.004999
29,0.003214,0.00064,0.008087,0.00805,0.000823,0.003862,0.0,0.0006919999999999999,0.0025729999999999998,0.004599
30,0.003323,0.000837,0.008096,0.008028,0.0010860000000000002,0.00404,0.0,0.000787,0.0026349999999999998,0.005198
31,0.005723,0.001789,0.008577999999999999,0.00833,0.0033450000000000003,0.004104,0.000934,0.00299,0.0026520000000000003,0.006867
32,0.008576,0.00641,0.018791,0.009641,0.00437,0.007004,0.006131,0.007381,0.004068,0.010196
33,0.016271,0.008241,0.022321999999999998,0.018817,0.00831,0.0070149999999999995,0.008456,0.008628,0.00538,0.013558
34,0.018677,0.011514,0.025742,0.01982,0.010496,0.008417999999999998,0.008308,0.011848000000000001,0.005775000000000001,0.016434
35,0.018978000000000002,0.011045,0.021608000000000002,0.020679,0.009393,0.008672000000000001,0.007626,0.011404,0.006494,0.015059
36,0.017687,0.010244,0.026971,0.026886,0.008775,0.008311,0.0066500000000000005,0.010172,0.006553,0.015763
37,0.016875,0.010017,0.027395,0.03792,0.008803,0.00872,0.0054269999999999995,0.009962,0.005375,0.015012000000000001
38,0.018716,0.011648,0.028384,0.025155,0.013413,0.008601000000000001,0.008861,0.011022,0.0066289999999999995,0.015224999999999999
39,0.020864,0.013077,0.021494,0.018394999999999998,0.013635,0.007783,0.009865,0.012829,0.006597,0.01731
40,0.018409,0.010575,0.021782,0.010868000000000001,0.010046,0.007583,0.008723000000000002,0.010589000000000001,0.0048460000000000005,0.015629
41,0.013932,0.009795,0.026966999999999998,0.010827,0.008898999999999999,0.005998,0.00583,0.009923,0.0042439999999999995,0.013173
42,0.008288,0.006322,0.031213,0.020463000000000002,0.00877,0.006367,0.0013340000000000001,0.005885,0.003008,0.010258
43,0.004453,0.002627,0.024457999999999997,0.024454,0.007001,0.0037080000000000004,0.003395,0.003013,0.0037389999999999997,0.006965
44,0.002814,0.000958,0.022216999999999997,0.025559000000000002,0.013266,0.003453,0.003875,0.000865,0.004527,0.004933
45,0.0026920000000000004,0.0007379999999999999,0.008894,0.028029,0.012448,0.003649,0.004151,0.000574,0.003732,0.004828000000000001
46,0.003141,0.000785,0.008243,0.028734000000000003,0.009127000000000001,0.0030169999999999997,0.003598,0.000605,0.003519,0.005046
47,0.0031190000000000002,0.000886,0.008223000000000001,0.009151999999999999,0.0015129999999999998,0.002675,0.000832,0.000507,0.0026320000000000002,0.005044
48,0.0030800000000000003,0.000696,0.008222,0.008661,0.0022949999999999997,0.0031579999999999998,0.0,0.000504,0.002852,0.004957
49,0.0027559999999999998,0.00085,0.008055999999999999,0.008117000000000001,0.0009360000000000001,0.003721,0.0,0.00069,0.0025659999999999997,0.00492
50,0.00327,0.000666,0.008087,0.006997,0.0008359999999999999,0.003851,0.0,0.000499,0.002811,0.004911
51,0.0031219999999999998,0.0008100000000000001,0.008095000000000001,0.008067,0.0010049999999999998,0.0034260000000000002,0.0,0.00053,0.0025830000000000002,0.004692999999999999
52,0.00307,0.0007830000000000001,0.008098000000000001,0.005997,0.001032,0.003105,0.0,0.000627,0.002604,0.0045780000000000005
53,0.003386,0.0007830000000000001,0.008102,0.008054,0.0008810000000000001,0.0035169999999999997,0.0,0.0006850000000000001,0.002836,0.004687
54,0.003353,0.000855,0.008191,0.005483,0.001016,0.003747,8.400000000000001e-05,0.00075,0.0026709999999999998,0.004938
55,0.003649,0.001173,0.010829,0.006102000000000001,0.001738,0.005027,0.00101,0.002088,0.002984,0.0065910000000000005
56,0.004657,0.002386,0.022077000000000003,0.009469,0.003977,0.007256,0.001467,0.002821,0.003755,0.007931
57,0.004736,0.002372,0.029460999999999998,0.010993000000000001,0.006802,0.006683,0.001637,0.002491,0.004842,0.007337
