days,time,errands,escort,home,leisure,shopping,workplace
sunday,10,0.0036571,0.0014882,0.0051317,0.0123125,0.003838,0
sunday,10.5,0.0036571,0.0014882,0.0051317,0.0123125,0.003838,0
sunday,11,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0
sunday,11.5,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0
sunday,12,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0
sunday,12.5,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0
sunday,13,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0
sunday,13.5,0.0047136,0.0021496,0.0123161,0.0198367,0.0011681,0
sunday,14,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0
sunday,14.5,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0
sunday,15,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0
sunday,15.5,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0
sunday,16,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0
sunday,16.5,0.0043885,0.0023976,0.015053,0.0232569,0.0008344,0
sunday,17,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0
sunday,17.5,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0
sunday,18,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0
sunday,18.5,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0
sunday,19,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0
sunday,19.5,0.0030882,0.0017362,0.0225795,0.0116284,0.0003337,0
sunday,20,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0
sunday,20.5,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0
sunday,21,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0
sunday,21.5,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0
sunday,22,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0
sunday,22.5,0.0008127,0.0007441,0.0109477,0.0034201,0.0001112,0
sunday,23,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
sunday,23.5,6.97E-05,7.09E-05,0.0014662,0.0002932,0,0
weekdays,0,6.58E-05,8.87E-05,0.0017049,0.0002358,0,0.0005086
weekdays,0.5,6.58E-05,8.87E-05,0.0017049,0.0002358,0,0.0005086
weekdays,1,6.58E-05,8.87E-05,0.0017049,0.0002358,0,0.0005086
weekdays,1.5,6.58E-05,8.87E-05,0.0017049,0.0002358,0,0.0005086
weekdays,2,6.58E-05,8.87E-05,0.0017049,0.0002358,0,0.0005086
weekdays,2.5,6.58E-05,8.87E-05,0.0017049,0.0002358,0,0.0005086
weekdays,3,6.58E-05,8.87E-05,0.0017049,0.0002358,0,0.0005086
weekdays,3.5,6.58E-05,8.87E-05,0.0017049,0.0002358,0,0.0005086
weekdays,4,6.58E-05,8.87E-05,0.0017049,0.0002358,0,0.0005086
weekdays,4.5,6.58E-05,8.87E-05,0.0017049,0.0002358,0,0.0005086
weekdays,5,6.58E-05,8.87E-05,0.0017049,0.0002358,0,0.0005086
weekdays,5.5,6.58E-05,8.87E-05,0.0017049,0.0002358,0,0.0005086
weekdays,6,0.0007669,0.0017582,0.0013259,0.0008257,0.0007058,0.018394
weekdays,6.5,0.0007669,0.0017582,0.0013259,0.0008257,0.0007058,0.018394
weekdays,7,0.0007669,0.0017582,0.0013259,0.0008257,0.0007058,0.018394
weekdays,7.5,0.0007669,0.0017582,0.0013259,0.0008257,0.0007058,0.018394
weekdays,8,0.0007669,0.0017582,0.0013259,0.0008257,0.0007058,0.018394
weekdays,8.5,0.0007669,0.0017582,0.0013259,0.0008257,0.0007058,0.018394
weekdays,9,0.0034519,0.0020163,0.0049728,0.0037155,0.0045005,0.0075654
weekdays,9.5,0.0034519,0.0020163,0.0049728,0.0037155,0.0045005,0.0075654
weekdays,10,0.0034519,0.0020163,0.0049728,0.0037155,0.0045005,0.0075654
weekdays,10.5,0.0034519,0.0020163,0.0049728,0.0037155,0.0045005,0.0075654
weekdays,11,0.0036821,0.0012412,0.0092822,0.0052289,0.0044124,0.0020769
weekdays,11.5,0.0036821,0.0012412,0.0092822,0.0052289,0.0044124,0.0020769
weekdays,12,0.0036821,0.0012412,0.0092822,0.0052289,0.0044124,0.0020769
weekdays,12.5,0.0036821,0.0012412,0.0092822,0.0052289,0.0044124,0.0020769
weekdays,13,0.0036821,0.0012412,0.0092822,0.0052289,0.0044124,0.0020769
weekdays,13.5,0.0036821,0.0012412,0.0092822,0.0052289,0.0044124,0.0020769
weekdays,14,0.0038352,0.0028954,0.0152492,0.0063295,0.0038828,0.0020769
weekdays,14.5,0.0038352,0.0028954,0.0152492,0.0063295,0.0038828,0.0020769
weekdays,15,0.0038352,0.0028954,0.0152492,0.0063295,0.0038828,0.0020769
weekdays,15.5,0.0038352,0.0028954,0.0152492,0.0063295,0.0038828,0.0020769
weekdays,16,0.0038352,0.0028954,0.0152492,0.0063295,0.0038828,0.0020769
weekdays,16.5,0.0038352,0.0028954,0.0152492,0.0063295,0.0038828,0.0020769
weekdays,17,0.0036821,0.0022753,0.023205,0.0079809,0.0047653,0.0005931
weekdays,17.5,0.0036821,0.0022753,0.023205,0.0079809,0.0047653,0.0005931
weekdays,18,0.0036821,0.0022753,0.023205,0.0079809,0.0047653,0.0005931
weekdays,18.5,0.0036821,0.0022753,0.023205,0.0079809,0.0047653,0.0005931
weekdays,19,0.0036821,0.0022753,0.023205,0.0079809,0.0047653,0.0005931
weekdays,19.5,0.0036821,0.0022753,0.023205,0.0079809,0.0047653,0.0005931
weekdays,20,0.0009205,0.0006206,0.0099452,0.003853,0.0007058,0.0005931
weekdays,20.5,0.0009205,0.0006206,0.0099452,0.003853,0.0007058,0.0005931
weekdays,21,0.0009205,0.0006206,0.0099452,0.003853,0.0007058,0.0005931
weekdays,21.5,0.0009205,0.0006206,0.0099452,0.003853,0.0007058,0.0005931
weekdays,22,0.0009205,0.0006206,0.0099452,0.003853,0.0007058,0.0005931
weekdays,22.5,0.0009205,0.0006206,0.0099452,0.003853,0.0007058,0.0005931
weekdays,23,6.58E-05,8.87E-05,0.0017049,0.0002358,0,0.0005086
weekdays,23.5,6.58E-05,8.87E-05,0.0017049,0.0002358,0,0.0005086
