Seconds,EPA_highway,EPA_city,WLTC_3b_low,WLTC_3b_middle,WLTC_3b_high,WLTC_3b_extrahigh,WLTC_2_low,WLTC_2_middle,WLTC_2_high,WLTC_2_full,WLTC_3b_full,EPA_full
366,91.57,55.68,20.8,37.8,39.4,,13,43.2,69.8,13,20.8,55.68
367,91.57,56.17,21.2,32.5,42.5,,13.5,43,69.9,13.5,21.2,56.17
368,91.73,56.01,22.1,27.2,46.5,,14.2,42.7,69.5,14.2,22.1,56.01
369,91.73,55.52,23.5,25.1,50.2,,15.2,42.4,68.9,15.2,23.5,55.52
370,91.73,55.84,24.3,26,52.8,,16.7,42.3,68.1,16.7,24.3,55.84
371,91.73,57.13,24.5,29.3,54.3,,18.3,42.2,67.4,18.3,24.5,57.13
372,91.73,57.94,23.8,34.6,54.9,,19.8,42.1,66.7,19.8,23.8,57.94
373,91.73,57.94,21.3,40.4,54.9,,21,42.1,66.3,21,21.3,57.94
374,91.73,57.94,17.7,45.3,54.7,,22.1,41.9,66.2,22.1,17.7,57.94
375,91.73,57.94,14.4,49,54.1,,23.5,41.7,66.3,23.5,14.4,57.94
376,91.73,57.94,11.9,51.1,53.2,,25.1,41.5,66.5,25.1,11.9,57.94
377,91.57,57.94,10.2,52.1,52.1,,27.1,41.3,66.7,27.1,10.2,57.94
378,91.41,58.1,8.9,52.2,50.7,,29,41.2,66.9,29,8.9,58.1
379,90.93,58.58,8,52.1,49.1,,30.5,41,67,30.5,8,58.58
380,90.44,58.74,7.2,51.7,47.4,,31.2,40.9,67.1,31.2,7.2,58.74
381,90.12,58.58,6.1,50.9,45.2,,31.2,40.6,67.1,31.2,6.1,58.58
382,90.12,57.94,4.9,49.2,41.8,,30.7,39.7,67,30.7,4.9,57.94
383,90.12,56.49,3.7,45.9,36.5,,29.8,37.5,66.9,29.8,3.7,56.49
384,90.28,54.88,2.3,40.6,31.2,,28.6,35.5,66.8,28.6,2.3,54.88
385,90.77,53.91,0.9,35.3,27.6,,27.4,33.3,66.7,27.4,0.9,53.91
386,91.25,50.53,0,30,26.9,,26.6,31.4,66.7,26.6,0,50.53
387,91.57,46.67,0,24.7,27.3,,26.1,28.4,66.8,26.1,0,46.67
388,91.89,41.36,0,19.3,27.5,,25.7,25.3,67,25.7,0,41.36
389,92.22,37.01,0,16,27.4,,24.9,22.4,67.3,24.9,0,37.01
390,92.38,32.67,0,13.2,27.1,,23.8,19.1,67.7,23.8,0,32.67
391,92.38,28.16,0,10.7,26.7,,22.4,15.5,68.1,22.4,0,28.16
392,92.05,23.34,0.5,8.8,26.8,,21.3,12,68.6,21.3,0.5,23.34
393,91.73,19.31,2.1,7.2,28.2,,20.7,8.8,69,20.7,2.1,19.31
394,91.57,14,4.8,5.5,31.1,,20.1,6,69.3,20.1,4.8,14
395,91.09,8.69,8.3,3.2,34.8,,19.2,3.6,69.3,19.2,8.3,8.69
396,90.61,3.38,12.3,1.1,38.4,,17.6,1.6,69.2,17.6,12.3,3.38
397,90.28,0,16.6,0,40.9,,16.2,0,68.8,16.2,16.6,0
398,90.77,0,20.9,0,41.7,,15.3,0,68.2,15.3,20.9,0
399,91.25,0,24.2,0,40.9,,14.7,0,67.6,14.7,24.2,0
400,91.89,0,25.6,0,38.3,,14.2,0,67.4,14.2,25.6,0
401,92.54,0,25.6,0,35.3,,13.7,0,67.2,13.7,25.6,0
402,93.02,0,24.9,0,34.3,,13.4,0,66.9,13.4,24.9,0
403,93.34,4.18,23.3,0,34.6,,13,0,66.3,13,23.3,4.18
404,93.34,9.5,21.6,0,36.3,,12.8,0,65.4,12.8,21.6,9.5
405,93.34,14.81,20.2,0,39.5,,12.5,0,64,12.5,20.2,14.81
406,93.34,20.12,18.7,0,41.8,,12.1,0,62.4,12.1,18.7,20.12
407,93.34,25.43,17,0,42.5,,11.1,0,60.6,11.1,17,25.43
408,93.34,30.74,15.3,0,41.9,,9.6,0,58.6,9.6,15.3,30.74
409,93.18,36.05,14.2,0,40.1,,7.4,0,56.7,7.4,14.2,36.05
410,93.02,40.23,13.9,0,36.6,,4.9,0,54.8,4.9,13.9,40.23
411,92.86,41.2,14,0,31.3,,2.9,0,53,2.9,14,41.2
412,92.86,44.26,14.2,0,26,,1.2,0,51.3,1.2,14.2,44.26
413,93.02,46.67,14.5,0,20.6,,0,0,49.6,0,14.5,46.67
414,93.18,48.28,14.9,0,19.1,,0,0,47.8,0,14.9,48.28
415,93.34,48.44,15.9,0,19.7,,0,0,45.5,0,15.9,48.44
416,93.5,48.28,17.4,0,21.1,,0,0,42.8,0,17.4,48.28
417,93.99,47.8,18.7,0,22,,0,0,39.8,0,18.7,47.8
418,94.79,47.15,19.1,0,22.1,,0,0,36.5,0,19.1,47.15
419,95.11,46.35,18.8,0,21.4,,0,0,33,0,18.8,46.35
420,95.59,45.06,17.6,0,19.6,,0,0,29.5,0,17.6,45.06
421,96.24,40.23,16.6,0,18.3,,0,0,25.8,0,16.6,40.23
422,96.4,34.92,16.2,0,18,,0,0,22.1,0,16.2,34.92
423,96.4,29.61,16.4,0,18.3,,0,0,18.6,0,16.4,29.61
424,96.24,24.3,17.2,0,18.5,,0,0,15.3,0,17.2,24.3
425,95.92,18.99,19.1,0,17.9,,0,0,12.4,0,19.1,18.99
426,95.59,13.68,22.6,0,15,,0,0,9.6,0,22.6,13.68
427,95.27,8.37,27.4,0,9.9,,0,0,6.6,0,27.4,8.37
428,95.11,3.06,31.6,0,4.6,,0,0,3.8,0,31.6,3.06
429,94.95,0,33.4,0,1.2,,0,0,1.6,0,33.4,0
430,94.79,0,33.5,0,0,,0,0,0,0,33.5,0
431,94.47,0,32.8,0,0,,0,0,0,0,32.8,0
432,94.31,0,31.9,0,0,,0,0,0,0,31.9,0
433,94.15,0,31.3,0,0,,0,0,0,0,31.3,0
434,93.99,0,31.1,,0,,0,,0,0,31.1,0
435,93.99,0,30.6,,0,,0,,0,0,30.6,0
436,93.82,0,29.2,,0,,0,,0,0,29.2,0
437,93.66,0,26.7,,0,,0,,0,0,26.7,0
438,93.5,0,23,,0,,0,,0,0,23,0
439,93.34,0,18.2,,0,,0,,0,0,18.2,0
440,93.18,0,12.9,,0,,0,,0,0,12.9,0
441,93.18,0,7.7,,0,,0,,0,0,7.7,0
442,93.18,0,3.8,,0,,0,,0,0,3.8,0
443,93.18,0,1.3,,0,,0,,0,0,1.3,0
444,93.18,0,0.2,,0,,0,,0,0,0.2,0
445,93.34,0,0,,0,,0,,0,0,0,0
446,93.5,0,0,,0,,0,,0,0,0,0
447,93.5,0,0,,0,,0,,0,0,0,0
448,93.66,5.31,0,,0,,0,,0,0,0,5.31
449,93.66,10.62,0,,0,,0,,0,0,0,10.62
450,93.66,15.93,0,,0,,0,,0,0,0,15.93
451,93.5,21.24,0,,0,,0,,0,0,0,21.24
452,93.34,26.55,0,,0,,0,,0,0,0,26.55
453,93.34,31.86,0,,0,,0,,0,0,0,31.86
454,93.34,37.18,0,,0,,0,,0,0,0,37.18
455,93.34,42.49,0,,0,,0,,0,0,0,42.49
456,93.34,44.74,0,,,,0,,,0,0,44.74
457,93.34,46.83,0,,,,0,,,0,0,46.83
458,93.18,50.69,0,,,,0,,,0,0,50.69
459,93.18,53.11,0,,,,0,,,0,0,53.11
460,93.34,54.07,0,,,,0,,,0,0,54.07
461,93.5,56.01,0,,,,0,,,0,0,56.01
462,93.5,56.49,0,,,,0,,,0,0,56.49
463,93.66,57.29,0,,,,0,,,0,0,57.29
464,93.82,58.1,0,,,,0,,,0,0,58.1
465,93.82,57.94,0,,,,0,,,0,0,57.94
466,93.82,58.1,0,,,,0,,,0,0,58.1
467,93.66,58.26,0,,,,0,,,0,0,58.26
468,93.5,57.94,0,,,,0,,,0,0,57.94
469,93.34,57.45,0,,,,0,,,0,0,57.45
470,93.02,57.94,0,,,,0,,,0,0,57.94
471,92.54,57.94,0,,,,0,,,0,0,57.94
472,91.89,57.29,0,,,,0,,,0,0,57.29
473,91.73,57.13,0,,,,0,,,0,0,57.13
474,91.09,56.97,0,,,,0,,,0,0,56.97
475,90.28,56.65,0,,,,0,,,0,0,56.65
476,90.12,56.65,0,,,,0,,,0,0,56.65
477,89.8,56.65,0,,,,0,,,0,0,56.65
478,89.32,56.65,0,,,,0,,,0,0,56.65
479,88.84,56.65,0,,,,0,,,0,0,56.65
480,88.67,56.65,0,,,,0,,,0,0,56.65
481,88.51,56.33,0,,,,1.4,,,1.4,0,56.33
482,88.35,56.49,0,,,,2.5,,,2.5,0,56.49
483,88.35,56.65,0,,,,5.2,,,5.2,0,56.65
484,88.35,57.13,0,,,,7.9,,,7.9,0,57.13
485,88.35,56.65,0,,,,10.3,,,10.3,0,56.65
486,88.35,56.33,0,,,,12.8,,,12.8,0,56.33
487,88.35,56.33,0,,,,15.1,,,15.1,0,56.33
488,88.51,56.33,0,,,,17.4,,,17.4,0,56.33
489,88.51,56.01,0,,,,19.6,,,19.6,0,56.01
490,88.51,55.68,0,,,,21.8,,,21.8,0,55.68
491,88.51,55.52,0,,,,24.4,,,24.4,0,55.52
492,88.51,53.91,0,,,,26.5,,,26.5,0,53.91
493,88.51,51.5,0,,,,28.8,,,28.8,0,51.5
494,88.67,48.44,0,,,,30.6,,,30.6,0,48.44
495,88.67,45.06,0,,,,32,,,32,0,45.06
496,88.51,41.04,0,,,,32.8,,,32.8,0,41.04
497,88.35,36.21,0,,,,33.3,,,33.3,0,36.21
498,88.35,31.86,0,,,,34,,,34,0,31.86
499,88.19,26.55,0,,,,35,,,35,0,26.55
500,88.03,21.24,0,,,,36.1,,,36.1,0,21.24
501,87.87,16.58,0,,,,36.6,,,36.6,0,16.58
502,87.55,11.59,0,,,,36.9,,,36.9,0,11.59
503,87.39,6.44,0,,,,37.1,,,37.1,0,6.44
504,87.39,1.61,0,,,,37.6,,,37.6,0,1.61
505,87.23,0,0,,,,38,,,38,0,0
506,87.07,0,0,,,,38.1,,,38.1,0,0
507,87.07,0,0,,,,37.7,,,37.7,0,0
508,87.07,0,0,,,,36.9,,,36.9,0,0
509,86.9,0,0,,,,36.1,,,36.1,0,0
510,86.9,0,0,,,,35.7,,,35.7,0,0
511,86.9,1.93,0,,,,35.9,,,35.9,0,1.93
512,86.9,5.63,0.5,,,,36.5,,,36.5,0.5,5.63
513,86.9,8.85,2.5,,,,37.8,,,37.8,2.5,8.85
514,86.9,10.46,6.6,,,,39.2,,,39.2,6.6,10.46
515,86.9,13.68,11.8,,,,40.6,,,40.6,11.8,13.68
516,86.9,15.45,16.8,,,,41.9,,,41.9,16.8,15.45
517,87.07,16.9,20.5,,,,42.9,,,42.9,20.5,16.9
518,87.23,19.15,21.9,,,,43.6,,,43.6,21.9,19.15
519,87.71,22.53,21.9,,,,44.1,,,44.1,21.9,22.53
520,88.19,25.75,21.3,,,,44.5,,,44.5,21.3,25.75
521,88.35,28.49,20.3,,,,44.9,,,44.9,20.3,28.49
522,88.51,30.58,19.2,,,,45.4,,,45.4,19.2,30.58
523,88.67,32.35,17.8,,,,44.5,,,44.5,17.8,32.35
524,88.84,33.8,15.5,,,,42.5,,,42.5,15.5,33.8
525,88.84,35.41,11.9,,,,39.5,,,39.5,11.9,35.41
526,89,37.01,7.6,,,,36.5,,,36.5,7.6,37.01
527,89.16,38.3,4,,,,33.5,,,33.5,4,38.3
528,89.32,39.43,2,,,,30.4,,,30.4,2,39.43
529,89.48,40.07,1,,,,27,,,27,1,40.07
530,89.64,40.23,0,,,,23.6,,,23.6,0,40.23
531,89.8,40.23,0,,,,21,,,21,0,40.23
532,89.96,40.23,0,,,,20.5,,,20.5,0,40.23
533,90.12,40.23,0.2,,,,22.3,,,22.3,0.2,40.23
534,90.12,40.23,1.2,,,,24.8,,,24.8,1.2,40.23
535,90.12,40.23,3.2,,,,27.9,,,27.9,3.2,40.23
536,90.12,41.2,5.2,,,,30.3,,,30.3,5.2,41.2
537,90.12,41.52,8.2,,,,33.2,,,33.2,8.2,41.52
538,90.12,41.84,13,,,,35.4,,,35.4,13,41.84
539,90.12,41.2,18.8,,,,38,,,38,18.8,41.2
540,90.12,40.56,23.1,,,,40.1,,,40.1,23.1,40.56
541,90.12,40.23,24.5,,,,42.7,,,42.7,24.5,40.23
542,90.12,40.23,24.5,,,,44.5,,,44.5,24.5,40.23
543,90.12,40.23,24.3,,,,46.3,,,46.3,24.3,40.23
544,90.12,39.27,23.6,,,,47.6,,,47.6,23.6,39.27
545,90.12,37.18,22.3,,,,48.8,,,48.8,22.3,37.18
546,90.12,31.86,20.1,,,,49.7,,,49.7,20.1,31.86
547,89.96,26.55,18.5,,,,50.6,,,50.6,18.5,26.55
548,89.96,21.24,17.2,,,,51.4,,,51.4,17.2,21.24
549,89.96,15.93,16.3,,,,51.4,,,51.4,16.3,15.93
550,89.8,10.62,15.4,,,,50.2,,,50.2,15.4,10.62
551,89.48,5.31,14.7,,,,47.8,,,47.8,14.7,5.31
552,89.16,0,14.3,,,,44.7,,,44.7,14.3,0
553,88.84,0,13.7,,,,41.5,,,41.5,13.7,0
554,88.67,0,13.3,,,,38.2,,,38.2,13.3,0
555,88.51,0,13.1,,,,35.4,,,35.4,13.1,0
556,88.35,0,13.1,,,,32.6,,,32.6,13.1,0
557,87.87,0,13.3,,,,29.7,,,29.7,13.3,0
558,87.55,0,13.8,,,,26.5,,,26.5,13.8,0
559,87.23,0,14.5,,,,23.4,,,23.4,14.5,0
560,87.07,0,16.5,,,,20.4,,,20.4,16.5,0
561,86.58,0,17,,,,17.5,,,17.5,17,0
562,85.94,0,17,,,,14.4,,,14.4,17,0
563,85.78,0,17,,,,11.6,,,11.6,17,0
564,85.46,0,15.4,,,,8.4,,,8.4,15.4,0
565,86.74,0,10.1,,,,5.6,,,5.6,10.1,0
566,84.65,0,4.8,,,,2.6,,,2.6,4.8,0
567,84.33,0,0,,,,0,,,0,0,0
568,84.01,0,0,,,,0,,,0,0,0
569,83.85,5.31,0,,,,0,,,0,0,5.31
570,83.69,10.62,0,,,,0,,,0,0,10.62
571,83.69,15.93,0,,,,0,,,0,0,15.93
572,83.69,20.92,0,,,,0,,,0,0,20.92
573,83.69,23.5,0,,,,0,,,0,0,23.5
574,83.85,25.75,0,,,,0,,,0,0,25.75
575,83.69,27.36,0,,,,0,,,0,0,27.36
576,83.69,27.36,0,,,,0,,,0,0,27.36
577,83.52,27.36,0,,,,0,,,0,0,27.36
578,83.04,28.16,0,,,,0,,,0,0,28.16
579,82.72,28.49,0,,,,0,,,0,0,28.49
580,82.24,28.49,0,,,,0,,,0,0,28.49
581,81.59,28.16,0,,,,0,,,0,0,28.16
582,80.95,27.36,0,,,,0,,,0,0,27.36
583,80.15,27.2,0,,,,0,,,0,0,27.2
584,79.34,26.72,0,,,,0,,,0,0,26.72
585,78.37,27.36,0,,,,0,,,0,0,27.36
586,77.57,27.52,0,,,,0,,,0,0,27.52
587,77.41,27.36,0,,,,0,,,0,0,27.36
588,77.25,26.72,0,,,,0,,,0,0,26.72
589,77.25,26.55,0,,,,0,,,0,0,26.55
590,77.41,26.55,,,,,,,,0,0,26.55
591,77.89,26.72,,,,,,,,0,0,26.72
592,78.7,27.36,,,,,,,,0,0,27.36
593,78.86,28.32,,,,,,,,0,0,28.32
594,79.02,29.77,,,,,,,,0,0,29.77
595,79.02,30.9,,,,,,,,0,0,30.9
596,78.86,32.51,,,,,,,,0,0,32.51
597,78.86,33.8,,,,,,,,0,0,33.8
598,78.7,33.96,,,,,,,,0,0,33.96
599,78.21,34.12,,,,,,,,0,0,34.12
600,77.73,34.76,,,,,,,,0,0,34.76
601,77.25,35.41,,,,,,,,1.6,1,35.41
602,77.09,36.05,,,,,,,,3.6,2.1,36.05
603,76.93,36.21,,,,,,,,6.3,4.8,36.21
604,76.77,36.21,,,,,,,,9,9.1,36.21
605,77.09,36.21,,,,,,,,11.8,14.2,36.21
606,77.73,36.53,,,,,,,,14.2,19.8,36.53
607,78.86,38.14,,,,,,,,16.6,25.5,38.14
608,79.02,40.39,,,,,,,,18.5,30.5,40.39
609,78.86,41.84,,,,,,,,20.8,34.8,41.84
610,78.7,42.65,,,,,,,,23.4,38.8,42.65
611,77.25,43.45,,,,,,,,26.9,42.9,43.45
612,75.8,42,,,,,,,,30.3,46.4,42
613,74.35,36.69,,,,,,,,32.8,48.3,36.69
614,74.19,31.38,,,,,,,,34.1,48.7,31.38
615,74.19,26.07,,,,,,,,34.2,48.5,26.07
616,74.35,20.76,,,,,,,,33.6,48.4,20.76
617,75.48,15.45,,,,,,,,32.1,48.2,15.45
618,76.93,10.14,,,,,,,,30,47.8,10.14
619,78.86,4.83,,,,,,,,27.5,47,4.83
620,79.98,0,,,,,,,,25.1,45.9,0
621,81.43,0,,,,,,,,22.8,44.9,0
622,82.88,0,,,,,,,,20.5,44.4,0
623,84.01,0,,,,,,,,17.9,44.3,0
624,84.81,0,,,,,,,,15.1,44.5,0
625,85.3,0,,,,,,,,13.4,45.1,0
626,86.26,0,,,,,,,,12.8,45.7,0
627,86.9,0,,,,,,,,13.7,46,0
628,87.07,0,,,,,,,,16,46,0
629,87.55,0,,,,,,,,18.1,46,0
630,88.03,0,,,,,,,,20.8,46.1,0
631,88.67,0,,,,,,,,23.7,46.7,0
632,89.16,0,,,,,,,,26.5,47.7,0
633,89.16,0,,,,,,,,29.3,48.9,0
634,88.51,0,,,,,,,,32,50.3,0
635,87.71,0,,,,,,,,34.5,51.6,0
636,86.26,0,,,,,,,,36.8,52.6,0
637,84.49,0,,,,,,,,38.6,53,0
638,80.79,0,,,,,,,,39.8,53,0
639,77.57,0,,,,,,,,40.6,52.9,0
640,74.83,0,,,,,,,,41.1,52.7,0
641,74.35,0,,,,,,,,41.9,52.6,0
642,74.03,0,,,,,,,,42.8,53.1,0
643,74.03,0,,,,,,,,44.3,54.3,0
644,74.51,0,,,,,,,,45.7,55.2,0
645,75.32,0,,,,,,,,47.4,55.5,0
646,76.44,3.22,,,,,,,,48.9,55.9,3.22
647,77.57,7.24,,,,,,,,50.6,56.3,7.24
648,78.54,12.55,,,,,,,,52,56.7,12.55
649,79.66,16.42,,,,,,,,53.7,56.9,16.42
650,80.79,20.12,,,,,,,,55,56.8,20.12
651,81.59,22.53,,,,,,,,56.8,56,22.53
652,82.24,24.62,,,,,,,,58,54.2,24.62
653,83.2,28.16,,,,,,,,59.8,52.1,28.16
654,84.01,31.54,,,,,,,,61.1,50.1,31.54
655,84.49,33.8,,,,,,,,62.4,47.2,33.8
656,83.85,35.73,,,,,,,,63,43.2,35.73
657,83.04,37.5,,,,,,,,63.5,39.2,37.5
658,82.24,39.43,,,,,,,,63,36.5,39.43
659,82.08,40.72,,,,,,,,62,34.3,40.72
660,82.08,41.2,,,,,,,,60.4,31,41.2
661,82.24,41.84,,,,,,,,58.6,26,41.84
662,82.72,42,,,,,,,,56.7,20.7,42
663,83.2,42.16,,,,,,,,55,15.4,42.16
664,83.69,42.16,,,,,,,,53.7,13.1,42.16
665,84.01,42.49,,,,,,,,52.7,12,42.49
666,84.49,42.65,,,,,,,,51.9,12.5,42.65
667,84.97,42.65,,,,,,,,51.4,14,42.65
668,84.81,41.84,,,,,,,,51,19,41.84
669,84.65,41.04,,,,,,,,50.7,23.2,41.04
670,84.17,37.98,,,,,,,,50.6,28,37.98
671,84.17,34.44,,,,,,,,50.8,32,34.44
672,84.33,29.77,,,,,,,,51.2,34,29.77
673,84.49,26.39,,,,,,,,51.7,36,26.39
674,84.81,23.34,,,,,,,,52.3,38,23.34
675,84.81,18.67,,,,,,,,53.1,40,18.67
676,84.33,14,,,,,,,,53.8,40.3,14
677,83.85,9.33,,,,,,,,54.5,40.5,9.33
678,83.2,5.63,,,,,,,,55.1,39,5.63
679,82.24,3.22,,,,,,,,55.9,35.7,3.22
680,81.27,0,,,,,,,,56.5,31.8,0
681,80.63,0,,,,,,,,57.1,27.1,0
682,80.15,0,,,,,,,,57.8,22.8,0
683,79.98,0,,,,,,,,58.5,21.1,0
684,79.82,0,,,,,,,,59.3,18.9,0
685,79.66,0,,,,,,,,60.2,18.9,0
686,79.66,0,,,,,,,,61.3,21.3,0
687,79.98,0,,,,,,,,62.4,23.9,0
688,80.47,0,,,,,,,,63.4,25.9,0
689,80.79,0,,,,,,,,64.4,28.4,0
690,81.43,0,,,,,,,,65.4,30.3,0
691,82.24,0,,,,,,,,66.3,30.9,0
692,83.04,0,,,,,,,,67.2,31.1,0
693,83.52,0,,,,,,,,68,31.8,0
694,83.69,2.25,,,,,,,,68.8,32.7,2.25
695,83.85,5.31,,,,,,,,69.5,33.2,5.31
696,84.33,7.08,,,,,,,,70.1,32.4,7.08
697,85.13,10.46,,,,,,,,70.6,28.3,10.46
698,85.78,14.81,,,,,,,,71,25.8,14.81
699,86.42,18.19,,,,,,,,71.6,23.1,18.19
700,87.23,21.73,,,,,,,,72.2,21.8,21.73
701,87.71,23.5,,,,,,,,72.8,21.2,23.5
702,88.19,26.39,,,,,,,,73.5,21,26.39
703,88.51,26.88,,,,,,,,74.1,21,26.88
704,89.32,26.55,,,,,,,,74.3,20.9,26.55
705,89.96,26.55,,,,,,,,74.3,19.9,26.55
706,90.28,29.29,,,,,,,,73.7,17.9,29.29
707,90.61,30.9,,,,,,,,72.6,15.1,30.9
708,90.77,32.35,,,,,,,,71,12.8,32.35
709,90.93,34.6,,,,,,,,69.2,12,34.6
710,91.25,36.21,,,,,,,,67.1,13.2,36.21
711,91.57,36.21,,,,,,,,65.3,17.1,36.21
712,91.73,35.57,,,,,,,,63.8,21.1,35.57
713,92.22,36.53,,,,,,,,62.6,21.8,36.53
714,92.86,37.5,,,,,,,,61.7,21.2,37.5
715,93.66,37.82,,,,,,,,61.2,18.5,37.82
716,94.63,36.21,,,,,,,,60.8,13.9,36.21
717,95.11,34.76,,,,,,,,60.7,12,34.76
718,95.27,32.99,,,,,,,,60.9,12,32.99
719,95.11,28.97,,,,,,,,61.2,13,28.97
720,94.63,24.14,,,,,,,,61.7,16,24.14
721,94.15,19.31,,,,,,,,62.1,18.5,19.31
722,93.5,14.48,,,,,,,,62.2,20.6,14.48
723,92.86,9.98,,,,,,,,62.2,22.5,9.98
724,92.22,7.24,,,,,,,,61.6,24,7.24
725,91.89,4.83,,,,,,,,60.2,26.6,4.83
726,91.41,3.38,,,,,,,,58.5,29.9,3.38
727,90.93,0.8,,,,,,,,56.5,34.8,0.8
728,90.44,0.8,,,,,,,,54.6,37.8,0.8
729,89.32,5.15,,,,,,,,53.2,40.2,5.15
730,87.87,10.46,,,,,,,,52.6,41.6,10.46
731,87.07,15.45,,,,,,,,52.8,41.9,15.45
732,86.42,20.12,,,,,,,,53.5,42,20.12
733,85.62,22.53,,,,,,,,54.4,42.2,22.53
734,85.13,25.75,,,,,,,,55.1,42.4,25.75
735,84.49,28.97,,,,,,,,55.6,42.7,28.97
736,83.69,31.54,,,,,,,,55.5,43.1,31.54
737,82.56,34.6,,,,,,,,54.9,43.7,34.6
738,81.27,37.18,,,,,,,,54.1,44,37.18
739,79.66,39.43,,,,,,,,53.2,44.1,39.43
740,78.05,41.04,,,,,,,,52.1,45.3,41.04
741,76.6,42.65,,,,,,,,50.8,46.4,42.65
742,75.32,43.61,,,,,,,,49.4,47.2,43.61
743,73.39,44.42,,,,,,,,47.7,47.3,44.42
744,71.13,44.9,,,,,,,,45.6,47.4,44.9
745,68.4,45.54,,,,,,,,43.5,47.4,45.54
746,63.09,46.03,,,,,,,,41.4,47.5,46.03
747,57.78,46.03,,,,,,,,38.9,47.9,46.03
748,52.46,45.54,,,,,,,,36,48.6,45.54
749,47.15,45.38,,,,,,,,32.7,49.4,45.38
750,43.13,45.06,,,,,,,,29.4,49.8,45.06
751,39.43,44.26,,,,,,,,26.2,49.8,44.26
752,34.6,43.13,,,,,,,,23.5,49.7,43.13
753,31.38,41.04,,,,,,,,21.7,49.3,41.04
754,28,37.82,,,,,,,,20.7,48.5,37.82
755,24.3,34.6,,,,,,,,20.2,47.6,34.6
756,19.96,30.58,,,,,,,,19.9,46.3,30.58
757,15.61,26.55,,,,,,,,19.5,43.7,26.55
758,11.27,23.98,,,,,,,,18.5,39.3,23.98
759,8.05,20.12,,,,,,,,17.2,34.1,20.12
760,5.31,15.13,,,,,,,,15.8,29,15.13
761,3.22,9.98,,,,,,,,14.8,23.7,9.98
762,1.13,4.83,,,,,,,,14.4,18.4,4.83
763,0,2.41,,,,,,,,14.9,14.3,2.41
764,0,2.41,,,,,,,,15.9,12,2.41
765,0,0.8,,,,,,,,17.1,12.8,0.8
766,,0,,,,,,,,18.3,16,0
767,,4.83,,,,,,,,19.4,19.1,4.83
768,,10.14,,,,,,,,20.4,22.4,10.14
769,,15.45,,,,,,,,21.2,25.6,15.45
770,,20.76,,,,,,,,21.7,30.1,20.76
771,,25.43,,,,,,,,21.7,35.3,25.43
772,,28.16,,,,,,,,21.3,39.9,28.16
773,,29.61,,,,,,,,20.3,44.5,29.61
774,,31.38,,,,,,,,19.1,47.5,31.38
775,,33.31,,,,,,,,17.9,50.9,33.31
776,,35.41,,,,,,,,16.9,54.1,35.41
777,,37.34,,,,,,,,16.1,56.3,37.34
778,,40.23,,,,,,,,15.6,58.1,40.23
779,,42.65,,,,,,,,15.3,59.8,42.65
780,,44.26,,,,,,,,15.2,61.1,44.26
781,,45.06,,,,,,,,15.1,62.1,45.06
782,,45.54,,,,,,,,15,62.8,45.54
783,,46.51,,,,,,,,15,63.3,46.51
784,,46.51,,,,,,,,15,63.6,46.51
785,,46.51,,,,,,,,15,64,46.51
786,,46.35,,,,,,,,15,64.7,46.35
787,,45.87,,,,,,,,14.8,65.2,45.87
788,,45.54,,,,,,,,14.5,65.3,45.54
789,,45.54,,,,,,,,14.1,65.3,45.54
790,,45.54,,,,,,,,13.5,65.4,45.54
791,,45.38,,,,,,,,13,65.7,45.38
792,,44.42,,,,,,,,12.7,66,44.42
793,,44.26,,,,,,,,12.5,65.6,44.26
794,,44.26,,,,,,,,12.5,63.5,44.26
795,,44.26,,,,,,,,12.6,59.7,44.26
796,,44.26,,,,,,,,13,54.6,44.26
797,,44.26,,,,,,,,13.6,49.3,44.26
798,,44.26,,,,,,,,14.6,44.9,44.26
799,,44.42,,,,,,,,15.7,42.3,44.42
800,,45.06,,,,,,,,17.1,41.4,45.06
801,,45.87,,,,,,,,18.7,41.3,45.87
802,,48.28,,,,,,,,20.2,42.1,48.28
803,,49.89,,,,,,,,21.9,44.7,49.89
804,,51.5,,,,,,,,23.6,48.4,51.5
805,,53.11,,,,,,,,25.4,51.4,53.11
806,,53.11,,,,,,,,27.1,52.7,53.11
807,,54.07,,,,,,,,28.9,53,54.07
808,,54.72,,,,,,,,30.4,52.5,54.72
809,,55.2,,,,,,,,32,51.3,55.2
810,,55.04,,,,,,,,33.4,49.7,55.04
811,,54.72,,,,,,,,35,47.4,54.72
812,,54.72,,,,,,,,36.4,43.7,54.72
813,,54.56,,,,,,,,38.1,39.7,54.56
814,,54.07,,,,,,,,39.7,35.5,54.07
815,,53.27,,,,,,,,41.6,31.1,53.27
816,,53.11,,,,,,,,43.3,26.3,53.11
817,,52.3,,,,,,,,45.1,21.9,52.3
818,,51.5,,,,,,,,46.9,18,51.5
819,,51.34,,,,,,,,48.7,17,51.34
820,,50.86,,,,,,,,50.5,18,50.86
821,,50.69,,,,,,,,52.4,21.4,50.69
822,,49.25,,,,,,,,54.1,24.8,49.25
823,,48.28,,,,,,,,55.7,27.9,48.28
824,,48.12,,,,,,,,57,30.8,48.12
825,,48.12,,,,,,,,58.2,33,48.12
826,,48.12,,,,,,,,59.3,35.1,48.12
827,,48.12,,,,,,,,60.1,37.1,48.12
828,,47.64,,,,,,,,60.9,38.9,47.64
829,,47.48,,,,,,,,61.6,41.4,47.48
830,,47.48,,,,,,,,62.2,44,47.48
